A¤o;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;12;13;3;C;1;5;1;;;;;;;;
2019;12;13;3;C;1;6;1;;;;;;;;
2019;12;13;3;C;1;7;1;10938159;4216;11605590;4237;11758036;4345;12511947;4354
2019;12;13;3;C;1;8;1;;;;;;;;
2019;12;13;3;C;1;9;1;545625;196;604603;204;547978;196;588202;199
2019;12;13;3;C;2;1;1;4920073;196;5028092;196;4920073;196;5028415;196
2019;12;13;3;C;2;2;1;7864925;782;8336299;809;9193473;961;9685460;978
2019;12;13;3;C;2;3;1;2064806;587;2169435;589;2077216;587;2223702;594
2019;12;13;3;C;2;4;1;7657513;1173;8020917;1173;7612588;1173;8025922;1177
2019;12;13;3;C;2;5;1;937497;196;1073497;210;954447;196;1006934;196
2019;12;13;3;C;2;6;1;0;0;0;0;;;;
2019;12;13;3;C;2;7;1;144850296;52576;153710078;52951;145926425;53663;157285759;53827
2019;12;13;3;C;2;8;1;8565361;1760;9540841;1874;8395760;1760;8987365;1785
2019;12;13;3;C;2;9;1;13197647;5715;13848401;5716;12401406;5487;13069234;5488
2019;12;14;3;C;1;1;7;3798270;194;3977075;194;3798270;194;3977075;194
2019;12;14;3;C;1;2;7;5856286;729;6442832;744;6171335;774;6886132;802
2019;12;14;3;C;1;3;7;5830963;1260;6645387;1286;6637681;1548;7531836;1582
2019;12;14;3;C;1;4;7;;;;;;;;
2019;12;14;3;C;1;5;7;;;;;;;;
2019;12;14;3;C;1;6;7;11711024;582;12245986;582;12774016;581;13308978;581
2019;12;14;3;C;1;7;7;527484;194;695027;215;527484;194;774652;234
2019;12;14;3;C;1;8;7;;;;;;;;
2019;12;14;3;C;1;9;7;;;;;;;;
2019;12;14;3;C;2;1;7;33629894;970;34970103;970;33629894;968;34970103;968
2019;12;14;3;C;2;2;7;35922683;2903;39044556;2995;32189221;2709;36043482;2873
2019;12;14;3;C;2;3;7;27494541;4212;34056832;4567;27702678;4257;34308708;4627
2019;12;14;3;C;2;4;7;;;;;;;;
2019;12;14;3;C;2;5;7;;;;;;;;
2019;12;14;3;C;2;6;7;19031000;774;19831181;774;21410156;774;22210337;774
2019;12;14;3;C;2;7;7;88482699;25032;120825452;28845;89970478;25269;121491328;29096
2019;12;14;3;C;2;8;7;;;;;;;;
2019;12;14;3;C;2;9;7;;;;;;;;
2019;12;15;3;P;1;1;1;313117077;20720;328748900;20720;328689072;20843;345488623;20843
2019;12;15;3;P;1;2;1;1045923251;95521;1104465850;95565;1044579817;95257;1108118544;95406
2019;12;15;3;P;1;3;1;107943212;15351;117604221;15419;107485424;14864;120797475;14949
2019;12;15;3;P;1;4;1;337278962;73185;380459439;73397;343501908;72493;400779172;72951
2019;12;15;3;P;1;5;1;;;;;;;;
2019;12;15;3;P;1;6;1;;;;;;;;
2019;12;15;3;P;1;7;1;6007374;2709;7711452;2719;5940441;2632;8095403;2640
2019;12;15;3;P;1;8;1;;;;;;;;
2019;12;15;3;P;1;9;1;524843;194;553499;194;524843;194;550350;194
2019;12;15;3;P;2;1;1;389461485;21629;409224219;21629;387563926;20990;407435960;20990
2019;12;15;3;P;2;2;1;932367554;72899;980095268;72964;937543351;72713;987792670;72758
2019;12;15;3;P;2;3;1;80187238;11811;87516860;12005;86749925;11890;99090163;12159
2019;12;15;3;P;2;4;1;201838505;43269;232329792;44061;201672801;43028;239958520;44061
2019;12;15;3;P;2;5;1;;;;;;;;
2019;12;15;3;P;2;6;1;;;;;;;;
2019;12;15;3;P;2;7;1;8598326;2645;10477741;2752;8994524;2619;11252109;2747
2019;12;15;3;P;2;8;1;;;;;;;;
2019;12;15;3;P;2;9;1;9685924;3657;12554370;3875;9763897;3677;13482672;3980
2019;12;17;1;K;1;1;3;8795280;194;9038461;194;8795280;194;9038711;194
2019;12;17;1;K;1;2;3;;;;;;;;
2019;12;17;1;K;1;3;3;;;;;;;;
2019;12;17;1;K;1;4;3;1066280;96;1245384;99;1085899;100;1261765;103
2019;12;17;1;K;1;5;3;;;;;;;;
2019;12;17;1;K;1;6;3;;;;;;;;
2019;12;17;1;K;1;7;3;;;;;;;;
2019;12;17;1;K;1;8;3;;;;;;;;
2019;12;17;1;K;1;9;3;;;;;;;;
2019;12;17;1;K;2;1;3;17560294;388;17992966;388;17560294;388;17993299;388
