A¤o;Mes;ID_Empresa;Tamano;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;5;13;3;C;2;2;1;8726613;978;9089427;978;7858745;821;8150145;821
2019;5;13;3;C;2;3;1;2029443;587;2128763;587;2010665;587;2127398;590
2019;5;13;3;C;2;4;1;8247810;1369;8862044;1413;8346778;1369;8795101;1379
2019;5;13;3;C;2;5;1;801370;196;980677;218;801370;196;977456;217
2019;5;13;3;C;2;6;1;;;;;;;;
2019;5;13;3;C;2;7;1;136377837;50400;146137106;50747;140159725;51156;148234171;51460
2019;5;13;3;C;2;8;1;8070991;1760;9031707;1876;7795766;1668;8553281;1742
2019;5;13;3;C;2;9;1;2666549;1258;2799724;1259;2941581;1337;3086964;1338
2019;5;14;3;C;1;1;7;3798270;194;3977075;194;3798270;194;3977075;194
2019;5;14;3;C;1;2;7;4694894;582;5387170;612;6074150;776;6782723;803
2019;5;14;3;C;1;3;7;6152244;1358;6968468;1383;6152244;1358;6956738;1378
2019;5;14;3;C;1;4;7;;;;;;;;
2019;5;14;3;C;1;5;7;;;;;;;;
2019;5;14;3;C;1;6;7;12719340;582;13248856;582;11358363;582;11887879;582
2019;5;14;3;C;1;7;7;138448;52;205702;52;519178;194;628468;203
2019;5;14;3;C;1;8;7;;;;;;;;
2019;5;14;3;C;1;9;7;;;;;;;;
2019;5;14;3;C;2;1;7;33629894;968;34970103;968;33629894;970;34970103;970
2019;5;14;3;C;2;2;7;38671448;3263;42082996;3365;37411765;3047;40471180;3118
2019;5;14;3;C;2;3;7;28136190;4343;31767040;4479;27266414;4268;30571461;4388
2019;5;14;3;C;2;4;7;;;;;;;;
2019;5;14;3;C;2;5;7;;;;;;;;
2019;5;14;3;C;2;6;7;20311581;776;21103117;776;18302196;776;19093732;776
2019;5;14;3;C;2;7;7;93572790;26436;112040942;27722;94022730;26891;110538479;27871
2019;5;14;3;C;2;8;7;;;;;;;;
2019;5;14;3;C;2;9;7;;;;;;;;
2019;5;15;3;P;1;1;1;387162192;25429;402882215;25429;392436601;25508;408710063;25508
2019;5;15;3;P;1;2;1;773221651;76998;813602841;77176;769359456;75650;809604334;75815
2019;5;15;3;P;1;3;1;91771657;13641;98227423;13830;92067309;13127;97643848;13232
2019;5;15;3;P;1;4;1;467078509;79076;494869334;79804;457765809;79137;484996634;79787
2019;5;15;3;P;1;5;1;;;;;;;;
2019;5;15;3;P;1;6;1;;;;;;;;
2019;5;15;3;P;1;7;1;7110980;2690;7664003;2773;7720247;3070;8356004;3162
2019;5;15;3;P;1;8;1;;;;;;;;
2019;5;15;3;P;1;9;1;;;;;;;;
2019;5;15;3;P;2;1;1;419656687;23061;434133522;23061;418635261;22900;433364726;22900
2019;5;15;3;P;2;2;1;732116455;61469;763822251;61529;732772331;61356;764620943;61403
2019;5;15;3;P;2;3;1;58769139;9817;63819564;10211;59141668;9578;63661546;9891
2019;5;15;3;P;2;4;1;248457246;45873;267913842;47297;239876528;45533;258709305;46895
2019;5;15;3;P;2;5;1;;;;;;;;
2019;5;15;3;P;2;6;1;;;;;;;;
2019;5;15;3;P;2;7;1;7409168;2645;8358200;2762;8245699;2645;9736150;2876
2019;5;15;3;P;2;8;1;;;;;;;;
2019;5;15;3;P;2;9;1;10037266;3483;12626396;4034;9887471;3483;11806335;3862
2019;5;17;1;K;1;1;3;8882571;194;9144529;194;8605949;194;8847818;194
2019;5;17;1;K;1;2;3;;;;;;;;
2019;5;17;1;K;1;3;3;;;;;;;;
2019;5;17;1;K;1;4;3;862698;79;1016304;81;927889;82;1086901;84
2019;5;17;1;K;1;5;3;;;;;;;;
2019;5;17;1;K;1;6;3;;;;;;;;
2019;5;17;1;K;1;7;3;;;;;;;;
2019;5;17;1;K;1;8;3;;;;;;;;
2019;5;17;1;K;1;9;3;;;;;;;;
2019;5;17;1;K;2;1;3;17707864;388;18231780;388;17182283;388;17666021;388
2019;5;17;1;K;2;2;3;31654621;582;32387870;582;30963066;582;31635858;582
2019;5;17;1;K;2;3;3;;;;;;;;
2019;5;17;1;K;2;4;3;6083518;388;6595564;388;6083518;388;6554814;388
2019;5;17;1;K;2;5;3;;;;;;;;
2019;5;17;1;K;2;6;3;;;;;;;;
2019;5;17;1;K;2;7;3;;;;;;;;
2019;5;17;1;K;2;8;3;;;;;;;;
2019;5;17;1;K;2;9;3;;;;;;;;
2019;5;18;3;Q;1;1;1;11857092;946;12507084;946;11868680;946;12759839;970
2019;5;18;3;Q;1;2;1;1030253194;89651;1098144896;91385;1033623531;90455;1101948072;92085
2019;5;18;3;Q;1;3;1;422200143;116358;482388617;119875;423040821;116358;485649121;120256
2019;5;18;3;Q;1;4;1;87947372;27434;103745709;28712;87256180;27056;102314311;28122
2019;5;18;3;Q;1;5;1;;;;;;;;
2019;5;18;3;Q;1;6;1;;;;;;;;
2019;5;18;3;Q;1;7;1;;;;;;;;
2019;5;18;3;Q;1;8;1;;;;;;;;
2019;5;18;3;Q;1;9;1;46375392;17785;61076077;20687;46561154;17785;60887280;20541
2019;5;18;3;Q;2;1;1;7933534;378;8163095;378;7935164;378;8168459;378
2019;5;18;3;Q;2;2;1;1087949139;54812;1133199534;55613;1077270036;54356;1122229378;55004
2019;5;18;3;Q;2;3;1;67876242;20055;78815602;20929;67949570;20055;81267796;21603
