A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;4;15;3;P;2;3;85;55377200;9172;59512347;9394;58769139;9817;63819564;10211
2019;4;15;3;P;2;4;85;243122082;45221;262514553;46628;248457246;45873;267913842;47297
2019;4;15;3;P;2;5;85;;;;;;;;
2019;4;15;3;P;2;6;85;;;;;;;;
2019;4;15;3;P;2;7;85;7031477;2470;8799775;2688;7409168;2645;8358200;2762
2019;4;15;3;P;2;8;85;;;;;;;;
2019;4;15;3;P;2;9;85;9869899;3483;11120888;3683;10037266;3483;12626396;4034
2019;4;17;1;K;1;1;66;8605949;194;8867561;194;8882571;194;9144529;194
2019;4;17;1;K;1;2;66;;;;;;;;
2019;4;17;1;K;1;3;66;;;;;;;;
2019;4;17;1;K;1;4;66;882024;81;1043743;83;862698;79;1016304;81
2019;4;17;1;K;1;5;66;;;;;;;;
2019;4;17;1;K;1;6;66;;;;;;;;
2019;4;17;1;K;1;7;66;;;;;;;;
2019;4;17;1;K;1;8;66;;;;;;;;
2019;4;17;1;K;1;9;66;;;;;;;;
2019;4;17;1;K;2;1;66;17182283;388;17705507;388;17707864;388;18231780;388
2019;4;17;1;K;2;2;66;30963066;582;31695460;582;31654621;582;32387870;582
2019;4;17;1;K;2;3;66;;;;;;;;
2019;4;17;1;K;2;4;66;6083518;388;6606742;388;6083518;388;6595564;388
2019;4;17;1;K;2;5;66;;;;;;;;
2019;4;17;1;K;2;6;66;;;;;;;;
2019;4;17;1;K;2;7;66;;;;;;;;
2019;4;17;1;K;2;8;66;;;;;;;;
2019;4;17;1;K;2;9;66;;;;;;;;
2019;4;18;3;Q;1;1;86;11853961;946;12650397;958;11857092;946;12507084;946
2019;4;18;3;Q;1;2;86;1017692849;89100;1087956360;90626;1030253194;89651;1098144896;91385
2019;4;18;3;Q;1;3;86;422845927;116169;488939856;119439;422200143;116358;482388617;119875
2019;4;18;3;Q;1;4;86;88165815;27434;104992178;28602;87947372;27434;103745709;28712
2019;4;18;3;Q;1;5;86;;;;;;;;
2019;4;18;3;Q;1;6;86;;;;;;;;
2019;4;18;3;Q;1;7;86;;;;;;;;
2019;4;18;3;Q;1;8;86;;;;;;;;
2019;4;18;3;Q;1;9;86;45822333;17596;58473372;19655;46375392;17785;61076077;20687
2019;4;18;3;Q;2;1;86;7843861;378;8067051;378;7933534;378;8163095;378
2019;4;18;3;Q;2;2;86;1078573442;54288;1121727096;54873;1087949139;54812;1133199534;55613
2019;4;18;3;Q;2;3;86;68553376;20055;80420210;20872;67876242;20055;78815602;20929
2019;4;18;3;Q;2;4;86;25655910;7379;31114211;7933;25673656;7379;31258172;8119
2019;4;18;3;Q;2;5;86;;;;;;;;
2019;4;18;3;Q;2;6;86;;;;;;;;
2019;4;18;3;Q;2;7;86;;;;;;;;
2019;4;18;3;Q;2;8;86;468256;189;548953;192;468256;189;645128;233
2019;4;18;3;Q;2;9;86;51671784;17596;64063223;19211;51696749;17596;64554812;19749
2019;4;19;2;G;1;1;46;;;;;;;;
2019;4;19;2;G;1;2;46;2149984;387;2467390;387;2132549;387;2445442;387
2019;4;19;2;G;1;3;46;1649805;194;1855871;194;1649805;194;1855871;194
2019;4;19;2;G;1;4;46;6577997;2503;8346485;2555;6172697;2178;7744415;2215
2019;4;19;2;G;1;5;46;;;;;;;;
2019;4;19;2;G;1;6;46;;;;;;;;
2019;4;19;2;G;1;7;46;44708326;23279;54161335;23316;39837438;19644;48172457;19679
2019;4;19;2;G;1;8;46;;;;;;;;
2019;4;19;2;G;1;9;46;;;;;;;;
2019;4;19;2;G;2;1;46;8901098;387;9270616;387;8901098;387;9271202;387
2019;4;19;2;G;2;2;46;8072619;1161;9098395;1161;8072619;1161;9098395;1161
2019;4;19;2;G;2;3;46;7475126;968;8262916;976;7446280;953;8225316;961
2019;4;19;2;G;2;4;46;11276701;2516;13540974;2671;11231701;2516;12990297;2535
2019;4;19;2;G;2;5;46;;;;;;;;
2019;4;19;2;G;2;6;46;;;;;;;;
2019;4;19;2;G;2;7;46;19267210;9774;24039136;9849;16103257;7834;19858661;7880
2019;4;19;2;G;2;8;46;;;;;;;;
2019;4;19;2;G;2;9;46;;;;;;;;
2019;4;20;3;O;1;1;84;10279042;1324;10993768;1324;10293741;1324;11041542;1337
2019;4;20;3;O;1;2;84;1424751258;127199;1545694914;133313;1436073021;128024;1562947445;135300
2019;4;20;3;O;1;3;84;443578567;115431;524187389;126713;423783981;115223;497665974;125026
2019;4;20;3;O;1;4;84;180606344;52516;203811540;54609;164879449;51771;190632703;54664
2019;4;20;3;O;1;5;84;;;;;;;;
2019;4;20;3;O;1;6;84;;;;;;;;
2019;4;20;3;O;1;7;84;;;;;;;;
2019;4;20;3;O;1;8;84;1103862;378;1705451;512;1089475;378;1898866;557
2019;4;20;3;O;1;9;84;96449439;32732;120085668;37224;88411642;32164;113802185;37467
2019;4;20;3;O;2;1;84;19083833;653;19738578;653;11519932;407;12363827;407
2019;4;20;3;O;2;2;84;1399282121;82569;1474766334;86375;1406434274;83256;1489556412;87581
2019;4;20;3;O;2;3;84;92526359;21594;109991127;24183;91810532;21714;107222332;23871
2019;4;20;3;O;2;4;84;36669543;9466;43438113;10338;35316003;9447;41274106;10177
2019;4;20;3;O;2;5;84;;;;;;;;
2019;4;20;3;O;2;6;84;;;;;;;;
2019;4;20;3;O;2;7;84;;;;;;;;
2019;4;20;3;O;2;8;84;33730396;9346;44022672;11407;32978782;9378;43289935;11274
2019;4;20;3;O;2;9;84;69236347;20799;90183206;23854;67834497;20705;92526308;24507
2019;4;21;3;O;1;1;84;;;;;;;;
2019;4;21;3;O;1;2;84;317811348;28380;350469711;28599;320773541;28657;342352396;28657
2019;4;21;3;O;1;3;84;;;;;;;;
2019;4;21;3;O;1;4;84;80653684;13812;87193991;13969;79656961;13812;83767682;13812
2019;4;21;3;O;1;5;84;;;;;;;;
2019;4;21;3;O;1;6;84;;;;;;;;
2019;4;21;3;O;1;7;84;;;;;;;;
2019;4;21;3;O;1;8;84;;;;;;;;
2019;4;21;3;O;1;9;84;;;;;;;;
2019;4;21;3;O;2;1;84;10662240;378;11341512;378;10077649;378;10277661;378
2019;4;21;3;O;2;2;84;753625313;59030;847608614;59497;745937307;58702;826897623;58702
2019;4;21;3;O;2;3;84;;;;;;;;
2019;4;21;3;O;2;4;84;60645591;11730;74297732;11884;59637393;11730;72493234;11730
2019;4;21;3;O;2;5;84;;;;;;;;
2019;4;21;3;O;2;6;84;;;;;;;;
2019;4;21;3;O;2;7;84;;;;;;;;
2019;4;21;3;O;2;8;84;1382000;378;1481382;378;1447026;378;1505910;378
2019;4;21;3;O;2;9;84;;;;;;;;
2019;4;22;1;K;1;1;66;4182194;194;4328122;194;4182194;194;4328401;194
2019;4;22;1;K;1;2;66;17651271;967;18678446;967;17651271;967;18680506;967
2019;4;22;1;K;1;3;66;;;;;;;;
2019;4;22;1;K;1;4;66;1406830;194;1540192;194;1406830;194;1540692;194
2019;4;22;1;K;1;5;66;;;;;;;;
2019;4;22;1;K;1;6;66;;;;;;;;
2019;4;22;1;K;1;7;66;;;;;;;;
2019;4;22;1;K;1;8;66;;;;;;;;
2019;4;22;1;K;1;9;66;;;;;;;;
2019;4;22;1;K;2;1;66;15978189;387;16322486;387;16158862;387;16503901;387
2019;4;22;1;K;2;2;66;46049914;1935;47781268;1935;55708392;2322;57718740;2322
2019;4;22;1;K;2;3;66;;;;;;;;
2019;4;22;1;K;2;4;66;1416233;194;1495500;194;1416233;194;1495404;194
2019;4;22;1;K;2;5;66;;;;;;;;
2019;4;22;1;K;2;6;66;;;;;;;;
2019;4;22;1;K;2;7;66;;;;;;;;
2019;4;22;1;K;2;8;66;;;;;;;;
2019;4;22;1;K;2;9;66;;;;;;;;
2019;4;23;3;P;1;1;85;;;;;;;;
2019;4;23;3;P;1;2;85;48291736;8318;53823023;8318;58928268;8372;64854544;8372
