Tamano;Seccion;Sexo;Grupo;IR_Wi;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;ICMO_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;IPC_Wi;EST_ROHO_Wtam;EST_ROHO_Wcat;EST_ROHO_Wsex;EST_ROHO_Wgru;EST_ROHO_Wi;EST_CHT_Wtam;EST_CHT_Wcat;EST_CHT_Wsex;EST_CHT_Wgru;EST_CHT_Wi;EST_NT_Wtam;EST_NT_Wcat;EST_NT_Wsex;EST_NT_Wgru;EST_NT_Wi;EST_RORE_Wtam;EST_RORE_Wcat;EST_RORE_Wsex;EST_RORE_Wgru;EST_RORE_Wi
3;G;2;7;0,17724812;0,273343856;1,201228187;0,257050722;2,115811021;0,190991317;0,292185835;1,295964374;0,275743576;2,159333637;;0,593943999;2,715836783;0,515636285;2,581397236;0,276530221;0,580653291;2,627475041;0,502478017;2,531993553;0,268416575;0,499877052;1,730917505;0,505178308;2,462666434;0,317018312;0,590406661;2,701107475;0,512834087;2,576168251;0,274790441
3;H;1;7;0,01135265;0,017507532;0,194356688;0,036567817;0,135516599;0,012603619;0,0192815;0,201074221;0,041006187;0,142495582;;0,586227252;4,29283998;0,588594211;2,547858735;0,272937435;0,548421371;4,11154076;0,544244439;2,391443218;0,253516838;0,031607114;0,312621592;0,053817485;0,155713849;0,020044997;0,581948876;4,253814521;0,583519666;2,539263727;0,270853971
3;H;2;7;0,118938151;0,183420918;2,036213994;0,172487796;1,419764856;0,138733431;0,212239719;2,213310018;0,200296291;1,568509865;;0,538859047;3,945970877;0,467813931;2,34198722;0,250883605;0,489684925;3,671190868;0,423757023;2,135317395;0,226364945;0,290149566;2,869829172;0,293226637;1,429434685;0,184010698;0,533494104;3,899629429;0,463399178;2,327837171;0,248301873
3;I;1;7;0,163875144;0,252720671;7,673800248;0,527855273;1,956177792;0,158534843;0,242532678;7,421829021;0,515797042;1,792383153;;1,137098534;7,462843627;1,1416897;4,942053486;0,529413732;1,188221838;7,624879823;1,179172006;5,181353624;0,549275172;0,870367051;11,83066325;1,48197538;4,287901822;0,551980316;1,137346807;7,446336285;1,140416719;4,962675605;0,529350448
3;I;2;7;0,059453959;0,091687146;2,784057362;0,086221975;0,709701974;0,058442032;0,089406859;2,735971213;0,084375641;0,660741267;;0,463304385;3,040693549;0,402220667;2,013611822;0,215706639;0,487647236;3,129257055;0,421993675;2,12643186;0,22542299;0,133184356;1,81033883;0,134596792;0,656138629;0,084464529;0,467830424;3,062937917;0,406362943;2,041321624;0,217740308
3;J;2;7;0,008634342;0,013315483;0,227138792;0,012521791;0,103068151;0,00894858;0,013689881;0,240307062;0,012919506;0,101171981;;0,324533224;3,791970395;0,281745595;1,410485109;0,151097148;0,334417076;3,833865551;0,289393398;1,458257264;0,154589817;0,012770262;0,36054202;0,012905692;0,06291326;0,008098805;0,31800769;3,71328633;0,276225175;1,387588197;0,148008956
3;L;2;7;0,00511064;0,007881393;0,555514587;0,007411609;0,061005716;0,005045919;0,00771944;0,568770492;0,007285042;0,057048785;;0,574378917;5,47862405;0,498650733;2,496363548;0,267421052;0,596779075;5,558242105;0,516432733;2,602311556;0,275870985;0,013043914;1,251452033;0,013182246;0,064261418;0,008272353;0,571119712;5,434225435;0,496081218;2,492011973;0,265813799
3;M;2;7;0,083862381;0,129328686;1,332965767;0,121619826;1,001065337;0,086068644;0,13167111;1,402940629;0,124261543;0,973085698;;0,383765969;3,084943362;0,333168882;1,667922249;0,178674906;0,390415762;3,095257243;0,337852796;1,702444827;0,180476135;0,149229546;2,180455474;0,150812143;0,735185967;0,094640269;0,391667545;3,142117364;0,340206981;1,70899409;0,182292146
3;N;1;7;0,084982968;0,131056804;1,226726431;0,273737107;1,014441793;0,087438795;0,133767219;1,219891133;0,284484286;0,988576514;;0,872815168;4,769629805;0,87633926;3,79342609;0,406367893;0,864194933;4,752337189;0,857612981;3,768403682;0,399488383;0,336841082;1,799987617;0,573539853;1,659462508;0,213622111;0,864244472;4,7229956;0,86657723;3,771026506;0,402241599
3;N;2;7;0,135312217;0,208672245;1,953227532;0,196233975;1,615222098;0,141341108;0,216229043;1,971902347;0,204061122;1,597992063;;0,623024844;3,404612999;0,540883006;2,707788299;0,290069768;0,611455704;3,362486365;0,529133399;2,666310385;0,282655499;0,389362198;2,080646254;0,393491431;1,918210113;0,246930613;0,618514985;3,380112516;0,537249304;2,698815534;0,287872778
3;O;2;7;0,005753682;0,008873062;0,092350314;0,008344168;0,068681707;0,0064927;0,009932782;0,107904016;0,009373831;0,073405987;;0,498110944;5,807233812;0,432438204;2,164887961;0,231911981;0,545866736;5,877045823;0,47237489;2,380303491;0,252335916;0,013021701;0,171262705;0,013159798;0,064151987;0,008258266;0,517144178;5,983192071;0,449197442;2,256496241;0,240692197
3;P;1;7;0,009358718;0,014432582;0,106406667;0,030145197;0,111715024;0,009575351;0,014648739;0,114904074;0,031153642;0,108258206;;0,595866382;5,778906811;0,598272261;2,58975229;0,27742525;0,589544228;5,57295502;0,585054093;2,570763324;0,272526558;0,025398201;0,194636152;0,043245558;0,125125362;0,01610735;0,594976094;5,7943182;0,596582046;2,596106419;0,276917173
3;P;2;7;0,01953366;0,030123907;0,222093637;0,02832832;0,233173323;0,019855355;0,030375482;0,238263969;0,028666154;0,224483163;;0,569805178;5,526156737;0,494680012;2,476485179;0,265291597;0,576675003;5,451302377;0,499035338;2,514645851;0,266577546;0,050709183;0,388603908;0,05124696;0,249821034;0,032159387;0,563136662;5,484242217;0,489147049;2,457178901;0,262098282
3;Q;2;7;0,005812204;0,008963312;0,134108488;0,008429039;0,069380287;0,006452659;0,009871525;0,14867597;0,009316022;0,072953285;;0,412080532;3,155604401;0,357750351;1,790982898;0,191857685;0,406529756;3,073174378;0,351797309;1,772711422;0,187925095;0,011577401;0,180573312;0,011700181;0,057036578;0,007342302;0,399515636;3,07191149;0,347023924;1,743238287;0,18594485
