EMPRESA_GENERICA;TAMANO_EMPRESA;CATEGORIA;ID_DIVISION;TT;SEXO;GRUPO;RO (ENE);RO (FEB);RO (MAR);RO (ABR);RO (MAY);RO (JUN);HO (ENE);HO (FEB);HO (MAR);HO (ABR);HO (MAY);HO (JUN);RE (ENE);RE (FEB);RE (MAR);RE (ABR);RE (MAY);RE (JUN);HE (ENE);HE (FEB);HE (MAR);HE (ABR);HE (MAY);HE (JUN);C (ENE);C (FEB);C (MAR);C (ABR);C (MAY);C (JUN);NT (ENE);NT (FEB);NT (MAR);NT (ABR);NT (MAY);NT (JUN)
1461;1;O;2;11;2;3;798000;798000;798000;798000;798000;798000;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;919506;919506;919506;919506;919506;919506;1;1;1;1;1;1
1461;1;O;2;11;2;7;176775;176775;176775;176775;176775;176775;116;116;116;116;116;116;0;0;0;0;0;0;0;0;0;0;0;0;185082;187198;187198;187198;187198;187198;1;1;1;1;1;1
1461;1;O;2;11;2;8;692540;692540;692540;692540;692540;692540;388;388;388;388;388;388;0;0;0;0;0;0;0;0;0;0;0;0;841449;843564;843564;843564;843564;843564;2;2;2;2;2;2
1461;1;O;2;11;2;9;1095400;1095400;1095400;1095400;1095400;1095400;581;581;581;581;581;581;0;0;0;0;0;0;0;0;0;0;0;0;1326324;1330554;1330554;1330554;1330554;1330554;3;3;3;3;3;3
1462;1;I;4;11;1;1;2770617;2776210;2782255;2789028;2794294;2796876;582;582;582;582;582;582;0;0;0;0;0;0;0;0;0;0;0;0;2807912;2813558;2819661;2835671;2831814;2834421;3;3;3;3;3;3
1462;1;I;4;11;1;3;3642500;3705000;3580000;3705000;3642500;3975970;582;582;537;582;582;744;20222;28466;73577;57011;11355;19989;4;6;16;12;2;4;3837068;3911179;3827487;4012880;3854181;4188917;3;3;3;3;3;4
1462;1;I;4;11;1;4;4040137;3692803;4040137;3923471;4040137;3875137;1552;1416;1552;1507;1552;1552;20294;11411;0;12689;9048;18321;5;2;0;4;3;4;4240447;3857362;4209408;4205893;4218764;4055470;8;8;8;8;8;8
1462;1;I;4;11;2;1;2232000;2232200;2232200;2232200;2232200;2232200;388;388;388;388;388;388;0;0;0;0;0;0;0;0;0;0;0;0;2329080;2329280;2329280;2336929;2329280;2329280;2;2;2;2;2;2
1462;1;I;4;11;2;3;4285000;4285000;4285000;4285000;2785000;3278000;970;970;970;970;776;970;104750;109729;112922;190400;38693;35019;20;20;13;36;8;6;4585466;4590475;4594055;4787716;2946701;3457533;5;5;5;5;4;5
1462;1;I;4;11;2;4;5640137;5600000;5500834;5275000;5656395;5115015;1940;1940;1895;1746;1940;1746;149328;41481;42000;21103;263002;149328;40;13;14;7;60;48;6059876;5906823;5802754;5711871;6186901;5507483;10;10;10;9;10;9
1463;1;K;5;11;1;4;756376;739500;739500;759500;775700;775700;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;834863;818124;818124;838124;855032;855032;1;1;1;1;1;1
1463;1;K;5;11;2;1;2450000;2450000;2450000;2450000;2450000;2450000;388;388;388;388;388;388;0;0;0;0;0;0;0;0;0;0;0;0;2818265;2818265;2818265;2818265;2818265;2818265;2;2;2;2;2;2
