A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;8;9;3;F;1;1;1;0;0;0;0;0;0;0;0
2019;8;9;3;F;1;2;1;73184905;6098;80932827;6098;64153186;5412;70441407;5412
2019;8;9;3;F;1;3;1;60196639;8290;69759498;8290;49928471;7048;58200876;7048
2019;8;9;3;F;1;4;1;28178837;3932;31778794;3966;24397147;3505;27490161;3559
2019;8;9;3;F;1;5;1;0;0;0;0;0;0;0;0
2019;8;9;3;F;1;6;1;1606875;194;1707999;194;1606875;194;1707999;194
2019;8;9;3;F;1;7;1;37632726;6692;43856690;6698;35007009;6351;40606475;6360
2019;8;9;3;F;1;8;1;9674657;2069;11397085;2069;10727345;2134;12331370;2134
2019;8;9;3;F;1;9;1;12310103;2833;14625989;2847;13981424;3363;16791967;3381
2019;8;9;3;F;2;1;1;12919802;194;13189046;194;12919802;194;13189479;194
2019;8;9;3;F;2;2;1;1321242600;79514;1468406178;79705;1298069610;76521;1439539284;76599
2019;8;9;3;F;2;3;1;1203948874;128476;1395646065;128543;1076421624;117353;1255102946;117464
2019;8;9;3;F;2;4;1;107029111;15909;126782762;16072;94867127;14473;111935739;14709
2019;8;9;3;F;2;5;1;;;;;0;0;0;0
2019;8;9;3;F;2;6;1;3683847;375;3898173;375;5246861;582;6269143;582
2019;8;9;3;F;2;7;1;4382396313;1104135;5659555896;1105173;3747499050;951197;4929179040;953614
2019;8;9;3;F;2;8;1;588202126;120654;720317277;121010;502435060;103687;618851171;104008
2019;8;9;3;F;2;9;1;88045441;19994;109957039;20190;66457929;15896;83107850;16024
2019;8;10;1;Q;1;1;1;4697830;194;4847115;194;4697830;194;4847327;194
2019;8;10;1;Q;1;2;1;5015181;388;5224467;388;5398782;388;5574633;388
2019;8;10;1;Q;1;3;1;2111888;776;2253361;782;2153634;776;2272947;776
2019;8;10;1;Q;1;4;1;4326509;1306;4678337;1328;3395917;1015;3858607;1069
2019;8;10;1;Q;1;5;1;;;;;;;;
2019;8;10;1;Q;1;6;1;;;;;;;;
2019;8;10;1;Q;1;7;1;;;;;;;;
2019;8;10;1;Q;1;8;1;;;;;;;;
2019;8;10;1;Q;1;9;1;;;;;;;;
2019;8;10;1;Q;2;1;1;2221717;194;2303547;194;2223846;194;2305757;194
2019;8;10;1;Q;2;2;1;11321836;970;11899772;970;11567736;970;12161405;970
2019;8;10;1;Q;2;3;1;;;;;;;;
2019;8;10;1;Q;2;4;1;;;;;;;;
2019;8;10;1;Q;2;5;1;;;;;;;;
2019;8;10;1;Q;2;6;1;;;;;;;;
2019;8;10;1;Q;2;7;1;;;;;;;;
2019;8;10;1;Q;2;8;1;;;;;;;;
