Tamaño;Categoría;Sexo;Grupo;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;IR_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;ICMO_Wi
2;B;2;3;0,150019794;0,46351658;0,04065546;0,185498258;0,028033782;0,152514953;0,463655653;0,040710469;0,184491914;0,028197741
2;B;2;4;0,042774431;0,13216028;0,011591898;0,075256977;0,007993139;0,04768483;0,144965072;0,012728403;0,080643916;0,008816214
2;B;2;7;0,163449538;0,505010498;0,04429493;0,364596137;0,030543361;0,163483745;0,497001513;0,043638343;0,341729603;0,030225708
2;B;2;8;0,334982815;1,034997347;0,090780558;0,865939212;0,062597308;0,343775058;1,045099159;0,091763093;0,809570553;0,063558884
3;B;1;1;0,034164596;0,366296018;0,071359269;0,155983749;0,02215382;0,031151169;0,334818965;0,06624955;0,154149638;0,020362393
3;B;1;2;0,293845029;3,150462038;0,613751333;0,581385923;0,190541978;0,287718781;3,092458723;0,611894849;0,597845418;0,188071365
3;B;1;3;0,07486408;0,80265589;0,156367896;0,321221021;0,048545147;0,075902426;0,81581438;0,161422564;0,324618401;0,049614672
3;B;1;4;0,059711859;0,640201217;0,124719595;0,364554376;0,038719783;0,062226346;0,66882115;0,132337487;0,372064498;0,040675113
3;B;1;7;0,024470115;0,262356554;0,051110498;0,189410293;0,015867494;0,029930177;0,321695495;0,063652852;0,221192232;0,019564274
3;B;1;8;0,044274671;0,474691273;0,092476087;0,397154436;0,028709635;0,047563135;0,51121804;0,101153067;0,396007468;0,031090302
3;B;1;9;0,007651243;0,082032866;0,015981078;0,082237635;0,004961401;0,007853381;0,084409697;0,016701875;0,079438337;0,005133471
3;B;2;1;0,629579967;6,750047096;0,592052763;2,874444722;0,408247207;0,57088466;6,135981947;0,5387591;2,824987513;0,373166662
3;B;2;2;2,443824173;26,20148213;2,2981558;4,835218674;1,584682558;2,366271607;25,43315818;2,233113708;4,916831054;1,546746199
3;B;2;3;1,25876484;13,49585818;1,183733981;5,401011073;0,816238217;1,243119764;13,36129863;1,173165319;5,316556689;0,812582446
3;B;2;4;0,161914403;1,735966676;0,152263214;0,988523969;0,104992386;0,168422757;1,810241315;0,158945054;1,007035328;0,110091867
3;B;2;5;0,010258584;0,109987496;0,009647103;0,262699021;0,006652115;0,011319151;0,12166049;0,010682185;0,269166532;0,00739892
3;B;2;7;1,225471328;13,1389015;1,152424987;9,485729009;0,794649247;1,314050172;14,12367278;1,24010424;9,711191962;0,858947089
3;B;2;8;2,386783021;25,58991492;2,244514685;21,41001698;1,547694579;2,40173455;25,81432095;2,266581034;19,99668062;1,569927043
3;B;2;9;0,108144704;1,15947438;0,101698551;1,162368629;0,070125759;0,122276768;1,314255036;0,115395851;1,236851196;0,079927902
3;C;1;1;0,150638435;0,76884279;0,314637073;0,687763073;0,097680554;0,137918359;0,695626665;0,293312565;0,68248049;0,090152245
3;C;1;2;0,516003559;2,633628113;1,077771752;1,020936806;0,334599293;0,492782947;2,485477348;1,048007173;1,023944372;0,322114396
3;C;1;3;0,337582536;1,722985901;0,705105449;1,448473105;0,218903292;0,340886296;1,719347579;0,724966815;1,457897596;0,222825047
3;C;1;4;0,321213186;1,639438455;0,670914943;1,961078995;0,208288689;0,325286761;1,640667318;0,691791104;1,944958419;0,212628195
3;C;1;5;0,005791222;0,02955779;0,01209607;0,148300032;0,003755282;0,005813143;0,02932008;0,012362878;0,138235062;0,003799841
3;C;1;6;0,094734003;0,48351243;0,197870017;1,96990309;0,061429674;0,098435452;0,496484483;0,209343811;2,005011079;0,064343696
3;C;1;7;0,29151977;1,487886367;0,608894585;2,256501213;0,189034178;0,309024529;1,558644576;0,657206028;2,28377621;0,201998162
3;C;1;8;0,073073227;0,372958095;0,152627357;0,655484396;0,047383879;0,079388589;0,40041674;0,168836628;0,660984066;0,051893451
3;C;1;9;0,267948187;1,367579479;0,559660844;2,87997985;0,173749333;0,302100871;1,523723331;0,642481406;3,055803903;0,197472417
3;C;2;1;1,107168678;5,650872952;1,041173971;5,054949852;0,717936631;1,002828111;5,058021127;0,94639567;4,962433028;0,65551248
3;C;2;2;1,914056083;9,76914174;1,799965454;3,787048109;1,241157741;1,81708637;9,164941775;1,714832934;3,775689429;1,187763665
3;C;2;3;1,77834352;9,076479035;1,672342274;7,630379194;1,153155775;1,832838917;9,244393792;1,729699033;7,838659066;1,198060535
3;C;2;4;0,538966646;2,750829303;0,506840606;3,290513009;0,349489564;0,552118335;2,784750618;0,521048817;3,301232431;0,360899794
3;C;2;5;0,041996763;0,21434708;0,039493473;1,075441668;0,027232539;0,04549706;0,229476109;0,042936791;1,081908507;0,029739783
3;C;2;6;0,226258378;1,154799061;0,212771856;4,704826804;0,146715836;0,230944997;1,164830405;0,217948961;4,704070207;0,150960395
3;C;2;7;1,960391371;10,0056322;1,843538847;15,17435853;1,27120357;2,095395421;10,56866495;1,977480617;15,48554812;1,369684229
3;C;2;8;1,345628044;6,867944574;1,265419553;12,07060676;0,872564121;1,443696695;7,281655052;1,362455125;12,02012176;0,943692334
3;C;2;9;0,735266393;3,752722645;0,691439566;7,902842773;0,476778911;0,797958851;4,024710396;0,753055077;8,07149532;0,521596851
2;C;1;1;0,446866322;0,657264512;0,268975381;0,587951486;0,083504668;0,420826102;0,600349624;0,253138784;0,589004025;0,077804474
2;C;1;2;0,662285902;0,974110151;0,39863958;0,37761782;0,123759526;0,649562327;0,926664237;0,390730082;0,381758712;0,120094392
2;C;1;3;0,451686843;0,66435468;0,271876923;0,558507116;0,084405465;0,455511424;0,649831631;0,274002984;0,551015969;0,084217273
2;C;1;4;0,502382056;0,738918734;0,302391114;0,883886799;0,093878739;0,516766169;0,73721752;0,310849443;0,873947695;0,095542362
2;C;1;7;0,549403407;0,808079161;0,330693954;1,225518055;0,102665488;0,563685032;0,80415187;0,339072464;1,178269208;0,10421696
2;C;1;9;0,15016208;0,220862932;0,090384754;0,465114317;0,028060371;0,161327647;0,230149679;0,097043135;0,461561671;0,029827077
2;C;2;1;2,312307121;3,401011303;0,626636712;3,042351462;0,432094407;2,168959725;3,094233341;0,578955477;3,035757531;0,401008323
2;C;2;2;2,063562491;3,035150172;0,559226758;1,176588489;0,385612189;2,033151986;2,900490309;0,542704627;1,19491764;0,375899497
