Año;Mes;ID_Empresa;Tamaño;Categoría;Sexo;Grupo;División;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;7;14;3;C;1;5;7;;;;;;;;
2019;7;14;3;C;1;6;7;11447741;582;11977257;582;12439966;582;12974928;582
2019;7;14;3;C;1;7;7;519178;194;602333;195;527484;194;757092;228
2019;7;14;3;C;1;8;7;;;;;;;;
2019;7;14;3;C;1;9;7;;;;;;;;
2019;7;14;3;C;2;1;7;33629894;968;34970103;968;32089124;899;33382370;899
2019;7;14;3;C;2;2;7;36100866;2916;39443440;3011;38190074;3096;42107834;3254
2019;7;14;3;C;2;3;7;25568403;3960;29554477;4134;26222845;3951;31512832;4215
2019;7;14;3;C;2;4;7;;;;;;;;
2019;7;14;3;C;2;5;7;;;;;;;;
2019;7;14;3;C;2;6;7;18470047;774;19261583;774;20557837;731;21321976;731
2019;7;14;3;C;2;7;7;89554371;25499;109526200;27166;87964101;24618;115270502;27736
2019;7;14;3;C;2;8;7;;;;;;;;
2019;7;14;3;C;2;9;7;;;;;;;;
2019;7;15;3;P;1;1;1;395358956;26596;414980367;26619;296603795;20239;311142654;20239
2019;7;15;3;P;1;2;1;874756240;84180;925824881;84325;1015896998;91191;1142523046;91307
2019;7;15;3;P;1;3;1;105562885;15732;114523160;15900;97227308;14541;106009023;14676
2019;7;15;3;P;1;4;1;303979042;65404;345651566;66018;323469849;69300;367489507;69967
2019;7;15;3;P;1;5;1;;;;;;;;
2019;7;15;3;P;1;6;1;;;;;;;;
2019;7;15;3;P;1;7;1;6119589;3083;8130117;3214;5314892;2670;7075501;2739
2019;7;15;3;P;1;8;1;;;;;;;;
2019;7;15;3;P;1;9;1;;;;;;;;
2019;7;15;3;P;2;1;1;339699681;20049;356730612;20097;354984857;20597;372404596;20597
2019;7;15;3;P;2;2;1;865918367;69376;909801971;69503;890630685;70581;935573793;70700
2019;7;15;3;P;2;3;1;67290484;9716;74368595;10050;65739849;10006;72779880;10387
2019;7;15;3;P;2;4;1;201168263;42248;235832938;43793;201951567;42316;232275131;43403
2019;7;15;3;P;2;5;1;;;;;;;;
2019;7;15;3;P;2;6;1;;;;;;;;
2019;7;15;3;P;2;7;1;8586877;2470;11151889;2759;7011162;2451;9471645;2735
2019;7;15;3;P;2;8;1;;;;;;;;
2019;7;15;3;P;2;9;1;8392248;3470;12220484;3991;7816994;3251;11041928;3609
2019;7;17;1;K;1;1;3;8605949;194;8868772;194;8605949;194;8848363;194
2019;7;17;1;K;1;2;3;;;;;;;;
2019;7;17;1;K;1;3;3;;;;;;;;
2019;7;17;1;K;1;4;3;978699;82;1138674;84;956852;83;1115743;85
2019;7;17;1;K;1;5;3;;;;;;;;
2019;7;17;1;K;1;6;3;;;;;;;;
2019;7;17;1;K;1;7;3;;;;;;;;
2019;7;17;1;K;1;8;3;;;;;;;;
2019;7;17;1;K;1;9;3;;;;;;;;
2019;7;17;1;K;2;1;3;17182283;388;17707930;388;17182283;388;17667111;388
2019;7;17;1;K;2;2;3;30963066;582;31698453;582;30963066;582;31637129;582
2019;7;17;1;K;2;3;3;;;;;;;;
2019;7;17;1;K;2;4;3;6083518;388;6595919;388;6083518;388;6554814;388
2019;7;17;1;K;2;5;3;;;;;;;;
2019;7;17;1;K;2;6;3;;;;;;;;
2019;7;17;1;K;2;7;3;;;;;;;;
